Date,Open,High,Low,Close,Adj Close,Volume
2020-12-23,114.000000,117.139999,113.959999,114.989998,114.989998,1308179
2020-12-24,116.000000,117.139999,115.599998,115.949997,115.949997,633086
2020-12-29,116.809998,122.089996,116.480003,122.089996,122.089996,1233955
2020-12-30,122.000000,122.000000,117.559998,117.629997,117.629997,887795
2020-12-31,118.050003,120.059998,118.000000,118.000000,118.000000,598402
2021-01-04,119.680000,122.300003,119.000000,119.000000,119.000000,962538
2021-01-05,119.000000,120.580002,118.129997,118.900002,118.900002,1008122
2021-01-06,118.709999,118.870003,112.010002,113.559998,113.559998,1350452
2021-01-07,114.879997,115.199997,105.029999,108.849998,108.849998,1494390
2021-01-08,111.870003,116.000000,111.500000,116.000000,116.000000,1608812
2021-01-11,115.769997,116.180000,112.180000,113.989998,113.989998,766558
2021-01-12,113.900002,114.750000,111.800003,111.849998,111.849998,845962
2021-01-13,111.849998,112.050003,107.500000,110.260002,110.260002,989650
2021-01-14,112.589996,121.000000,112.500000,121.000000,121.000000,1542253
2021-01-15,120.790001,135.539993,120.699997,133.149994,133.149994,2360768
2021-01-18,131.649994,140.399994,131.500000,132.009995,132.009995,3103244
2021-01-19,132.380005,134.289993,131.710007,134.000000,134.000000,882969
2021-01-20,135.250000,142.300003,135.250000,141.000000,141.000000,1515128
2021-01-21,144.410004,149.774994,144.289993,149.000000,149.000000,2545952
2021-01-22,150.000000,151.220001,140.360001,141.330002,141.330002,2132907
2021-01-25,144.990005,146.500000,142.529999,143.460007,143.460007,2135612
2021-01-27,143.380005,146.990005,140.679993,146.000000,146.000000,2610925
2021-01-28,141.500000,142.940002,136.009995,136.970001,136.970001,2072260
2021-01-29,140.740005,142.899994,134.539993,135.100006,135.100006,1412398
2021-02-01,132.449997,136.369995,129.009995,135.869995,135.869995,1236180
2021-02-02,140.100006,147.100006,139.330002,146.619995,146.619995,1868420
2021-02-03,147.660004,149.429993,144.220001,144.220001,144.220001,1076635
2021-02-04,144.800003,147.500000,143.699997,146.309998,146.309998,1636995
2021-02-05,150.000000,151.300003,148.169998,151.300003,151.300003,1141937
2021-02-08,152.000000,156.500000,152.000000,153.460007,153.460007,1493208
2021-02-09,157.889999,159.000000,151.809998,152.100006,152.100006,3782183
2021-02-10,153.449997,159.500000,152.699997,158.470001,158.470001,934012
2021-02-11,158.990005,160.050003,154.500000,154.809998,154.809998,747892
2021-02-12,153.000000,157.610001,151.539993,151.740005,151.740005,730433
2021-02-15,155.410004,156.289993,153.000000,154.149994,154.149994,661195
2021-02-16,155.500000,156.300003,151.399994,153.460007,153.460007,638524
2021-02-17,151.509995,152.000000,143.789993,147.770004,147.770004,1157977
2021-02-18,145.050003,152.509995,145.000000,149.990005,149.990005,1304363
2021-02-19,153.059998,159.279999,151.759995,151.919998,151.919998,1363893
2021-02-22,152.350006,155.699997,149.190002,149.190002,149.190002,925159
2021-02-23,146.690002,146.690002,135.899994,138.460007,138.460007,2104890
2021-02-24,136.860001,136.949997,132.259995,134.360001,134.360001,1926421
2021-02-25,134.360001,134.360001,134.360001,134.360001,134.360001,0
2021-02-26,120.480003,126.199997,116.000000,119.519997,119.519997,6288397
2021-03-01,122.199997,126.949997,119.599998,125.660004,125.660004,2641686
2021-03-02,133.679993,134.000000,122.160004,123.480003,123.480003,2051434
2021-03-03,121.480003,121.720001,118.300003,120.760002,120.760002,1463588
2021-03-04,116.849998,122.250000,115.519997,118.320000,118.320000,2796597
2021-03-05,115.989998,116.300003,108.339996,115.400002,115.400002,2712399
2021-03-08,118.070000,121.199997,110.860001,111.199997,111.199997,1727653
2021-03-09,105.000000,107.250000,99.379997,107.190002,107.190002,4161032
2021-03-10,112.589996,118.480003,112.559998,115.260002,115.260002,3037977
2021-03-11,115.870003,115.940002,105.110001,111.000000,111.000000,5327195
2021-03-12,115.980003,116.555000,112.889999,113.419998,113.419998,1545095
2021-03-15,112.489998,112.489998,107.570000,108.330002,108.330002,1043054
2021-03-16,109.599998,112.330002,108.519997,111.709999,111.709999,1139575
2021-03-17,111.779999,113.589996,108.879997,112.989998,112.989998,1387600
2021-03-18,111.940002,112.699997,109.199997,111.000000,111.000000,1279654
2021-03-19,107.980003,109.610001,106.750000,108.300003,108.300003,2051266
2021-03-22,108.000000,111.599998,107.849998,109.529999,109.529999,837117
2021-03-23,111.459999,111.959999,106.589996,107.139999,107.139999,939857
2021-03-24,106.099998,108.800003,105.500000,107.500000,107.500000,784480
2021-03-25,105.019997,106.500000,103.199997,105.459999,105.459999,1347929
2021-03-26,104.010002,107.000000,102.510002,105.889999,105.889999,1222098
2021-03-29,105.949997,106.300003,100.730003,101.489998,101.489998,2718988
2021-03-30,102.080002,103.400002,99.680000,101.029999,101.029999,2250396
2021-03-31,100.820000,102.000000,99.099998,101.500000,101.500000,2494883
2021-04-01,101.760002,106.000000,101.400002,105.519997,105.519997,2042561
2021-04-06,110.349998,116.599998,110.000000,116.040001,116.040001,2426434
2021-04-07,119.400002,121.489998,117.620003,118.480003,118.480003,2108248
2021-04-08,120.470001,120.480003,118.669998,120.010002,120.010002,1022691
2021-04-09,121.000000,123.989998,119.889999,121.470001,121.470001,1678238
2021-04-12,122.730003,123.500000,120.800003,121.199997,121.199997,957138
2021-04-13,121.440002,126.320000,121.440002,124.980003,124.980003,1272632
2021-04-14,128.529999,129.449997,126.269997,127.849998,127.849998,2304193
2021-04-15,127.000000,128.300003,125.570000,127.300003,127.300003,780900
2021-04-16,126.800003,128.600006,126.500000,127.400002,127.400002,590408
